State,Quarter,Spend ($M)
South Australia,March quarter 2024,2180332
Western Australia,March quarter 2024,2498826
Tasmania,March quarter 2024,1036503
Northern Territory,March quarter 2024,205875
ACT,March quarter 2024,790837
New South Wales,June quarter 2024,6654615
Victoria,June quarter 2024,6094475
Queensland,June quarter 2024,6776905
South Australia,June quarter 2024,1688913
Western Australia,June quarter 2024,2746868
Tasmania,June quarter 2024,747318
Northern Territory,June quarter 2024,210826
ACT,June quarter 2024,852143
New South Wales,September quarter 2024,7527039
Victoria,September quarter 2024,6234709
Queensland,September quarter 2024,7931124
South Australia,September quarter 2024,1684307
Western Australia,September quarter 2024,2145903
Tasmania,September quarter 2024,696548
Northern Territory,September quarter 2024,350596
ACT,September quarter 2024,836384
New South Wales,December quarter 2024,8632403
Victoria,December quarter 2024,6303223
Queensland,December quarter 2024,7335692
South Australia,December quarter 2024,1811393
Western Australia,December quarter 2024,2717334
Tasmania,December quarter 2024,928985
Northern Territory,December quarter 2024,241064
ACT,December quarter 2024,687984
