State,Quarter,Spend ($M)
Tasmania,June quarter 2024,677
Northern Territory,June quarter 2024,213
ACT,June quarter 2024,559
New South Wales,September quarter 2024,6985
Victoria,September quarter 2024,5406
Queensland,September quarter 2024,6632
South Australia,September quarter 2024,1342
Western Australia,September quarter 2024,2075
Tasmania,September quarter 2024,632
Northern Territory,September quarter 2024,355
ACT,September quarter 2024,549
New South Wales,December quarter 2024,7964
Victoria,December quarter 2024,5433
Queensland,December quarter 2024,6097
South Australia,December quarter 2024,1435
Western Australia,December quarter 2024,2612
Tasmania,December quarter 2024,838
Northern Territory,December quarter 2024,242
ACT,December quarter 2024,449
